key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure
Lesotho,53.705,26.7,4.5,65.7,545.675,419.36300000000006,177.6,26.6,,3.2567,,104.55279499999999,17.400345
Lithuania,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.96954300000004
Luxembourg,82.3,23.5,5.0,1.9,66.343,41.193000000000005,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414
Latvia,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.3523560000001,390.632446
Libya,72.72399999999999,,10.2,10.2,179.56599999999997,99.334,71.9,20.1,,6.5305,2.0905,,
Morocco,76.453,23.4,7.0,19.2,72.327,62.159,49.1,12.4,,1.3887,0.7308,161.010864,86.843163
Moldova,71.808,24.2,5.7,13.6,237.424,95.579,78.3,24.9,,4.9235,3.2066,191.185776,83.424835
Madagascar,66.681,,4.5,38.2,232.545,181.739,159.6,22.9,,0.146,,24.670837,6.090098
Mali,58.893,12.3,2.4,62.0,263.613,244.75599999999997,209.1,24.6,,0.3585,0.1286,31.378104999999998,11.017797
Myanmar,66.867,20.3,3.9,36.8,247.696,149.971,156.4,24.2,,0.9993,0.677,58.04395699999999,44.247471000000004
Mongolia,69.689,25.6,4.7,14.0,288.357,123.17299999999999,155.9,30.2,,3.8938,2.8592,148.784454,47.837875
Macao,84.118,,4.3,,58.271,24.487,,,,,,,
Mauritania,64.704,,7.1,51.5,218.359,176.149,169.5,18.1,,0.9252,0.1865,48.817130999999996,24.186684
Mauritius,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04717999999997
Malawi,63.798,14.5,4.5,35.3,325.106,212.388,115.0,16.4,,0.4386,0.0358,32.259384000000004,3.4163940000000004
Mexico,74.992,14.0,13.5,11.0,184.37900000000002,95.815,36.7,15.7,1.5,2.3961,2.3827,494.677643,204.219147
Malaysia,75.997,21.5,16.7,6.7,160.38299999999998,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231
Mozambique,60.163000000000004,16.6,3.3,54.0,389.52099999999996,268.188,110.0,18.4,,0.6847,0.0838,21.071156,1.558282
Niger,62.023999999999994,7.7,2.4,48.0,251.729,222.743,251.8,20.0,0.3,0.2695,0.0433,29.26165,13.995413000000001
Nigeria,54.332,5.8,3.1,75.7,364.32099999999997,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425
Nicaragua,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08338899999998,62.617363
Netherlands,81.9,25.8,5.4,3.3,65.56,51.048,13.7,11.2,,11.1839,3.6054,4911.44043,544.528137
Norway,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.1625980000001
Nepal,70.47800000000001,22.8,7.2,26.7,167.31599999999997,129.611,193.8,21.8,,3.1084,0.7486,47.915363,27.694385999999998
New Zealand,81.858537,16.0,6.2,4.7,,,7.2,10.1,,12.4482,3.5898,3937.2219240000004,534.55957
Oman,77.633,11.1,10.1,9.8,101.38799999999999,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762
