iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
OWID_WRL,,World,2020-02-08,34936.0,3442.0,3284.0,724.0,86.0,66.429,4.482,0.442,0.42100000000000004,0.09300000000000001,0.011000000000000001,0.009000000000000001,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-09,37554.0,2618.0,3285.429,813.0,89.0,72.571,4.8180000000000005,0.336,0.42100000000000004,0.10400000000000001,0.011000000000000001,0.009000000000000001,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-10,40546.0,2992.0,3310.2859999999996,910.0,97.0,78.286,5.202000000000001,0.384,0.425,0.11699999999999999,0.012,0.01,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-11,43109.0,2563.0,3213.143,1018.0,108.0,84.429,5.53,0.32899999999999996,0.41200000000000003,0.131,0.013999999999999999,0.011000000000000001,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-12,45181.0,2072.0,2950.857,1115.0,97.0,88.85700000000001,5.796,0.266,0.379,0.14300000000000002,0.012,0.011000000000000001,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-13,60332.0,15151.0,4579.429,1370.0,255.0,115.0,7.74,1.944,0.5870000000000001,0.17600000000000002,0.033,0.015,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-14,64547.0,4215.0,4721.857,1383.0,13.0,106.429,8.281,0.541,0.606,0.177,0.002,0.013999999999999999,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-15,67107.0,2560.0,4595.857,1527.0,144.0,114.714,8.609,0.32799999999999996,0.59,0.196,0.018000000000000002,0.015,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-16,69269.0,2162.0,4530.714,1669.0,142.0,122.286,8.887,0.27699999999999997,0.581,0.214,0.018000000000000002,0.016,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-17,71336.0,2067.0,4398.571,1775.0,106.0,123.571,9.152000000000001,0.265,0.564,0.228,0.013999999999999999,0.016,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
